player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,2,0.23,0.48,0.1,130,7.44,63,98,32,90,30,10,23.08,12,21.42,16.69,24.54,5,"3,406"
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.31,0.18,133,7.38,55,86,47,99,17,4,12.78,18,18.7,15.54,20.11,4,"3,232"
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.43,0.13,137,7.63,53,84,53,84,23,4,16.79,13,20.23,17.08,19.24,4,"3,085"
6a921387-8b23-11ef-bdd6-00ff248ba4a4,1,0.16,0.32,0.11,114,7.58,56,92,22,83,18,2,15.79,17,21.21,15.69,18.4,5,"2,535"
6a921387-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.4,0.16,125,7.15,47,104,21,89,19,1,15.2,20,21.67,18.51,18.53,2,"3,294"
6a921387-8b23-11ef-bdd6-00ff248ba4a4,3,0.17,0.38,0.09,139,7.39,60,113,26,99,23,0,16.55,17,22.73,18,22.37,5,"2,761"
6a921387-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.42,0.14,126,7.14,52,98,28,96,22,2,17.46,19,19.32,14.59,20.98,6,"3,079"
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,1,0.11,0.24,0.3,95,7.75,41,56,39,65,10,1,10.53,7,10.01,6.07,12.97,4,"3,119"
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,2,0.09,0.23,0.38,92,7.56,35,47,45,76,8,0,8.7,6,9.33,7.75,8.91,2,"3,318"
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,3,0.11,0.34,0.3,89,7.26,29,51,38,66,10,1,11.24,7,9.7,8.13,6.29,0,"3,118"
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,4,0.15,0.35,0.17,121,7.56,51,73,48,80,18,1,14.88,8,16.1,8.22,18.34,9,"3,105"
6a921746-8b23-11ef-bdd6-00ff248ba4a4,1,0.2,0.43,0.12,85,7.55,40,66,19,66,17,0,20,7,12.08,10.51,13.89,2,"2,946"
6a921746-8b23-11ef-bdd6-00ff248ba4a4,2,0.12,0.25,0.2,81,7.08,40,47,34,62,10,0,12.35,9,10.1,10.1,11.57,0,"2,899"
6a921746-8b23-11ef-bdd6-00ff248ba4a4,3,0.27,0.47,0.13,86,7.5,49,62,24,71,23,0,26.74,17,15.98,15.98,18.57,0,"3,019"
6a921746-8b23-11ef-bdd6-00ff248ba4a4,4,0.25,0.47,0.18,68,7.24,36,44,24,54,17,1,25,10,9.74,8.95,13.72,1,"3,121"
6a9218be-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.35,0.18,107,7.01,48,95,12,89,17,2,15.89,21,18.27,16.69,18,2,"3,062"
6a921a38-8b23-11ef-bdd6-00ff248ba4a4,4,0.19,0.35,0.12,83,7.1,46,72,11,57,16,7,19.28,17,16.31,16.31,16.44,0,"2,874"
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,3,0.28,0.58,0.07,54,7.12,26,51,3,45,15,3,27.78,8,10.5,10.5,9.82,0,"1,805"
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,4,0.18,0.39,0.13,82,7.12,38,76,6,62,15,1,18.29,19,19.93,12.83,18.22,8,"2,844"
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,1,0.18,0.4,0.16,107,7.32,47,96,11,78,19,5,17.76,22,16.88,16.88,18.91,0,"3,221"
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,2,0.17,0.32,0.2,86,6.88,47,81,5,68,15,3,17.44,20,16.48,14.99,15.02,1,"3,134"
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,3,0.14,0.34,0.18,77,6.9,32,72,5,58,11,1,14.29,10,11.92,11.13,11.09,1,"2,955"
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,4,0.14,0.31,0.21,97,7.05,45,87,10,77,14,3,14.43,13,14.55,12.98,15.06,1,"3,329"
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.4,0.25,54,7.13,20,31,23,41,8,0,14.81,9,7.91,7.13,7.01,0,"2,357"
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,3,0.15,0.42,0.12,55,7.33,19,41,14,48,8,2,14.55,5,9.01,9.01,7.79,0,"1,856"
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,4,0.24,0.59,0.15,54,7.36,22,35,19,40,13,1,24.07,5,9.02,7.45,10,1,"2,030"
6a922028-8b23-11ef-bdd6-00ff248ba4a4,4,0.29,0.45,0.08,45,7,29,33,12,35,13,2,28.89,9,11.66,9.3,14.69,3,"1,927"
6a922196-8b23-11ef-bdd6-00ff248ba4a4,4,0.2,0.48,0.08,59,7.12,25,38,21,54,12,1,20.34,9,8.2,7.41,8.65,0,"1,456"
6a922306-8b23-11ef-bdd6-00ff248ba4a4,1,0.26,0.43,109.44,35,6.89,21,33,2,26,9,1,25.71,6,8.87,7.3,9.2,2,985
6a922306-8b23-11ef-bdd6-00ff248ba4a4,2,0.25,0.51,0.06,73,7.01,35,66,7,43,18,3,24.66,16,17.46,15.09,15.83,3,"1,885"
6a922306-8b23-11ef-bdd6-00ff248ba4a4,3,0.23,0.53,0.12,35,6.83,15,29,6,21,8,3,22.86,4,6.17,4.59,5.72,2,"1,388"
6a922306-8b23-11ef-bdd6-00ff248ba4a4,4,0.24,0.6,0.17,49,6.99,20,44,5,32,12,1,24.49,10,12.61,9.46,11.67,4,"2,085"
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,2,0.19,0.44,0.12,42,6.75,18,38,4,30,8,0,19.05,6,8.38,6.8,8.47,2,"1,589"
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,4,0.21,0.44,0.17,57,6.97,27,44,13,41,12,1,21.05,6,8.53,6.95,11.31,2,"2,185"
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,1,0.29,0.54,0.07,48,6.94,26,44,4,32,14,5,29.17,12,11.92,11.92,10.63,0,"1,806"
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.31,0.17,70,6.8,39,55,15,61,12,2,17.14,19,13.08,11.5,13.01,2,"2,750"
6a9227b7-8b23-11ef-bdd6-00ff248ba4a4,4,0.29,0.58,83.91,38,7.48,19,22,16,27,11,2,28.95,2,6.31,6.31,6.89,0,923
