player_id,season_id,Expected_assists_xA_,Pass_accuracy,Assists,Dribble_success,Key_passes
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,2,3.98,72.0%,3,43.0%,57
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,3,5.52,70.3%,9,54.0%,50
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,4,3.63,69.9%,14,52.0%,49
6a921387-8b23-11ef-bdd6-00ff248ba4a4,1,7.5,75.70%,10,35.50%,66
6a921387-8b23-11ef-bdd6-00ff248ba4a4,2,7.17,78.1%,12,41.5%,65
6a921387-8b23-11ef-bdd6-00ff248ba4a4,3,7.36,79.9%,13,42.7%,63
6a921387-8b23-11ef-bdd6-00ff248ba4a4,4,7.04,83.7%,5,42.9%,57
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,1,10.23,79.40%,8,47.50%,114
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,2,10.73,77.7%,8,53.3%,119
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,3,6.93,78.3%,6,50.0%,68
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,4,9.67,78.3%,12,51.1%,88
6a921746-8b23-11ef-bdd6-00ff248ba4a4,1,8.34,85.10%,10,45.30%,68
6a921746-8b23-11ef-bdd6-00ff248ba4a4,2,4.53,82.0%,6,45.2%,61
6a921746-8b23-11ef-bdd6-00ff248ba4a4,3,5.64,86.6%,7,55.4%,72
6a921746-8b23-11ef-bdd6-00ff248ba4a4,4,5.12,83.4%,10,54.2%,75
6a9218be-8b23-11ef-bdd6-00ff248ba4a4,4,1.74,77.2%,7,47.5%,30
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,4,3.06,67.5%,9,63.4%,28
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,1,4.16,76.80%,13,45.60%,45
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,2,2.67,69.9%,6,33.3%,31
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,3,2.63,70.9%,2,54.4%,35
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,4,3.82,71.5%,5,57.1%,45
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,3,4.18,91.2%,4,68.6%,38
6a922196-8b23-11ef-bdd6-00ff248ba4a4,4,3.28,79.8%,2,72.7%,28
6a922306-8b23-11ef-bdd6-00ff248ba4a4,2,2.13,67.7%,5,38.7%,23
6a922946-8b23-11ef-bdd6-00ff248ba4a4,3,4.42,77.3%,2,61.0%,41
6a922aac-8b23-11ef-bdd6-00ff248ba4a4,4,5.28,79.6%,6,54.1%,60
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,3,5.38,79.9%,1,49.3%,46
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,4,3.85,78.3%,2,47.0%,30
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,2,2.75,78.7%,5,42.5%,30
