player_id,season_id,Goals_per_90,Expected_goals_xG_per_90,xG_on_target_xGOT_per_90,Penalty_goals_per_90,Non_penalty_xG_per_90,Shots_per_90,Shots_on_target_per_90,Assists_per_90,Expected_assists_xA_per_90,Pass_accuracy_per_90,Dribble_success_per_90,Touches_per_90,Touches_in_opposition_box_per_90,Aerial_duels_won_per_90,Aerial_duels_won_percentage_per_90
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,2,0.79,0.57,0.65,0.13,0.44,3.44,1.66,0.08,0.11,72.0%,43.0%,38.98,4.78,1.74,44.9%
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,3,0.47,0.52,0.56,0.11,0.43,3.7,1.53,0.25,0.15,70.3%,54.0%,43.11,5.15,2.09,47.8%
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,4,0.67,0.59,0.56,0.12,0.5,4,1.55,0.41,0.11,69.9%,52.0%,45.54,5.02,2.22,40.0%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,1,0.64,0.75,0.65,0.18,0.56,4.05,1.99,0.36,0.27,75.70%,35.50%,52.12,9.2,0.21,30.00%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,2,0.52,0.59,0.51,0.05,0.51,3.42,1.28,0.33,0.2,78.1%,41.5%,48.91,9.04,0.22,21.1%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,3,0.75,0.74,0.73,0.16,0.59,4.53,1.96,0.42,0.24,79.9%,42.7%,55.97,10.99,0.23,17.5%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,4,0.64,0.56,0.61,0.18,0.43,3.68,1.52,0.15,0.21,83.7%,42.9%,53.84,9.12,0.53,30.0%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,1,0.29,0.29,0.37,0.12,0.18,2.74,1.18,0.23,0.3,79.40%,47.50%,77.53,3.12,0.61,43.80%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,2,0.22,0.25,0.24,0.05,0.21,2.5,0.95,0.22,0.29,77.7%,53.3%,68.63,4.23,0.52,30.6%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,3,0.29,0.28,0.18,0,0.23,2.57,0.84,0.17,0.2,78.3%,50.0%,74.04,3,0.55,38.8%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,4,0.52,0.47,0.53,0.26,0.24,3.51,1.48,0.35,0.28,78.3%,51.1%,82.55,3.59,0.46,27.1%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,1,0.52,0.37,0.42,0.06,0.32,2.6,1.22,0.31,0.25,85.10%,45.30%,44.94,6.93,0.15,23.80%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,2,0.31,0.31,0.36,0,0.31,2.51,1.24,0.19,0.14,82.0%,45.2%,41.45,3.6,0.28,24.3%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,3,0.69,0.48,0.55,0,0.48,2.56,1.46,0.21,0.17,86.6%,55.4%,50.2,4.68,0.48,31.4%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,4,0.49,0.28,0.4,0.03,0.26,1.96,1.04,0.29,0.15,83.4%,54.2%,47.78,3.86,0.58,24.1%
6a9218be-8b23-11ef-bdd6-00ff248ba4a4,4,0.5,0.54,0.53,0.06,0.49,3.15,1.41,0.21,0.05,77.2%,47.5%,27.04,5.11,1.38,38.8%
6a921a38-8b23-11ef-bdd6-00ff248ba4a4,4,0.5,0.51,0.51,0,0.51,2.6,1.44,0,0.07,68.7%,44.9%,35.82,4.7,4.82,53.3%
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,3,0.75,0.52,0.49,0,0.52,2.69,1.3,0.1,0.05,72.5%,40.9%,21.84,5.53,1.2,32.4%
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,4,0.47,0.63,0.58,0.25,0.41,2.59,1.2,0.28,0.1,67.5%,63.4%,24.62,5.6,1.58,41.7%
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,1,0.53,0.47,0.53,0,0.47,2.99,1.31,0.36,0.12,76.80%,45.60%,30.04,6.45,1.4,37.90%
