player_id,season_id,Touches,Touches_in_opposition_box,Aerial_duels_won,Aerial_duels_won_percentage
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,2,"1,475",181,66,44.9%
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,3,"1,548",185,75,47.8%
6a91e84f-8b23-11ef-bdd6-00ff248ba4a4,4,"1,561",172,76,40.0%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,1,"1,468",259,6,30.00%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,2,"1,790",331,8,21.1%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,3,"1,717",337,7,17.5%
6a921387-8b23-11ef-bdd6-00ff248ba4a4,4,"1,842",312,18,30.0%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,1,"2,687",108,21,43.80%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,2,"2,530",156,19,30.6%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,3,"2,565",104,19,38.8%
6a9215ba-8b23-11ef-bdd6-00ff248ba4a4,4,"2,848",124,16,27.1%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,1,"1,471",227,5,23.80%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,2,"1,335",116,9,24.3%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,3,"1,684",157,16,31.4%
6a921746-8b23-11ef-bdd6-00ff248ba4a4,4,"1,657",134,20,24.1%
6a9218be-8b23-11ef-bdd6-00ff248ba4a4,4,920,174,47,38.8%
6a921a38-8b23-11ef-bdd6-00ff248ba4a4,4,"1,144",150,154,53.3%
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,3,438,111,24,32.4%
6a921bb2-8b23-11ef-bdd6-00ff248ba4a4,4,778,177,50,41.7%
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,1,"1,075",231,50,37.90%
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,2,"1,021",174,70,41.2%
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,3,"1,178",184,65,40.4%
6a921d36-8b23-11ef-bdd6-00ff248ba4a4,4,"1,411",241,136,46.6%
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,2,"1,873",92,20,62.5%
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,3,"1,589",89,11,47.8%
6a921ea7-8b23-11ef-bdd6-00ff248ba4a4,4,"2,011",83,12,48.0%
6a922028-8b23-11ef-bdd6-00ff248ba4a4,4,850,100,28,30.8%
6a922196-8b23-11ef-bdd6-00ff248ba4a4,4,797,85,8,17.4%
6a922306-8b23-11ef-bdd6-00ff248ba4a4,1,367,85,9,36.00%
6a922306-8b23-11ef-bdd6-00ff248ba4a4,2,554,136,20,29.4%
6a922306-8b23-11ef-bdd6-00ff248ba4a4,3,383,78,29,36.2%
6a922306-8b23-11ef-bdd6-00ff248ba4a4,4,700,102,44,32.1%
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,2,551,93,25,40.3%
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,4,885,126,23,24.2%
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,1,671,98,73,42.90%
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,4,"1,006",137,154,43.4%
6a9227b7-8b23-11ef-bdd6-00ff248ba4a4,4,611,45,23,65.7%
6a922946-8b23-11ef-bdd6-00ff248ba4a4,3,"1,653",215,30,36.1%
6a922946-8b23-11ef-bdd6-00ff248ba4a4,4,"1,740",260,36,36.0%
6a922aac-8b23-11ef-bdd6-00ff248ba4a4,4,"1,556",70,13,27.7%
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,3,"1,699",137,12,25.5%
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,4,"1,370",167,9,25.7%
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,2,"1,330",198,20,33.3%
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,4,"1,791",187,25,56.8%
6a922f01-8b23-11ef-bdd6-00ff248ba4a4,4,"2,185",110,234,59.2%
6a92306e-8b23-11ef-bdd6-00ff248ba4a4,4,906,123,205,56.8%
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,3,"1,268",172,79,40.9%
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,4,916,127,73,45.1%
6a923362-8b23-11ef-bdd6-00ff248ba4a4,4,940,125,35,37.6%
6a9235cb-8b23-11ef-bdd6-00ff248ba4a4,4,499,68,10,35.7%
